,Survived,SibSp,Parch,Fare,Idade,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,0,1,0,7.25,22.0,False,True,False,False,True,0.0,0.0,1.0
1,1,1,0,71.2833,38.0,True,False,True,False,False,1.0,0.0,0.0
2,1,0,0,7.925,26.0,True,False,False,False,True,0.0,0.0,1.0
3,1,1,0,53.1,35.0,True,False,False,False,True,1.0,0.0,0.0
4,0,0,0,8.05,35.0,False,True,False,False,True,0.0,0.0,1.0
5,0,0,0,8.4583,29.092853312037207,False,True,False,True,False,0.0,0.0,1.0
6,0,0,0,51.8625,54.0,False,True,False,False,True,1.0,0.0,0.0
7,0,3,1,21.075,2.0,False,True,False,False,True,0.0,0.0,1.0
8,1,0,2,11.1333,27.0,True,False,False,False,True,0.0,0.0,1.0
9,1,1,0,30.0708,14.0,True,False,True,False,False,0.0,1.0,0.0
10,1,1,1,16.7,4.0,True,False,False,False,True,0.0,0.0,1.0
11,1,0,0,26.55,58.0,True,False,False,False,True,1.0,0.0,0.0
12,0,0,0,8.05,20.0,False,True,False,False,True,0.0,0.0,1.0
13,0,1,5,31.275,39.0,False,True,False,False,True,0.0,0.0,1.0
14,0,0,0,7.8542,14.0,True,False,False,False,True,0.0,0.0,1.0
15,1,0,0,16.0,55.0,True,False,False,False,True,0.0,1.0,0.0
16,0,4,1,29.125,2.0,False,True,False,True,False,0.0,0.0,1.0
17,1,0,0,13.0,30.4185463679756,False,True,False,False,True,0.0,1.0,0.0
18,0,1,0,18.0,31.0,True,False,False,False,True,0.0,0.0,1.0
19,1,0,0,7.225,22.67232572492552,True,False,True,False,False,0.0,0.0,1.0
20,0,0,0,26.0,35.0,False,True,False,False,True,0.0,1.0,0.0
21,1,0,0,13.0,34.0,False,True,False,False,True,0.0,1.0,0.0
22,1,0,0,8.0292,15.0,True,False,False,True,False,0.0,0.0,1.0
23,1,0,0,35.5,28.0,False,True,False,False,True,1.0,0.0,0.0
24,0,3,1,21.075,8.0,True,False,False,False,True,0.0,0.0,1.0
25,1,1,5,31.3875,38.0,True,False,False,False,True,0.0,0.0,1.0
26,0,0,0,7.225,29.110028876809448,False,True,True,False,False,0.0,0.0,1.0
27,0,3,2,263.0,19.0,False,True,False,False,True,1.0,0.0,0.0
28,1,0,0,7.8792,22.663215002089224,True,False,False,True,False,0.0,0.0,1.0
29,0,0,0,7.8958,29.100686973907298,False,True,False,False,True,0.0,0.0,1.0
30,0,0,0,27.7208,40.0,False,True,True,False,False,1.0,0.0,0.0
31,1,1,0,146.5208,32.42968085742207,True,False,True,False,False,1.0,0.0,0.0
32,1,0,0,7.75,22.665014307180098,True,False,False,True,False,0.0,0.0,1.0
33,0,0,0,10.5,66.0,False,True,False,False,True,0.0,1.0,0.0
34,0,1,0,82.1708,28.0,False,True,True,False,False,1.0,0.0,0.0
35,0,1,0,52.0,42.0,False,True,False,False,True,1.0,0.0,0.0
36,1,0,0,7.2292,22.67226723358356,False,True,True,False,False,0.0,0.0,1.0
37,0,0,0,8.05,21.0,False,True,False,False,True,0.0,0.0,1.0
38,0,2,0,18.0,18.0,True,False,False,False,True,0.0,0.0,1.0
39,1,1,0,11.2417,14.0,True,False,True,False,False,0.0,0.0,1.0
40,0,1,0,9.475,40.0,True,False,False,False,True,0.0,0.0,1.0
41,0,1,0,21.0,27.0,True,False,False,False,True,0.0,1.0,0.0
42,0,0,0,7.8958,29.100686973907298,False,True,True,False,False,0.0,0.0,1.0
43,1,1,2,41.5792,3.0,True,False,True,False,False,0.0,1.0,0.0
