,0,1,2,3,4
0,833,96,727,539,953
1,766,748,689,844,29
2,188,193,762,800,595
3,199,877,477,747,799
4,207,854,445,653,249
5,531,77,491,508,398
6,617,218,928,381,49
7,205,502,762,583,919
8,617,724,291,599,566
9,99,109,705,271,73
10,326,426,232,160,973
11,107,766,228,485,658
12,882,54,788,387,116
13,500,493,866,355,317
14,253,367,101,922,368
15,730,10,953,582,280
16,236,102,853,544,560
17,148,977,295,464,922
18,270,342,684,541,903
19,772,662,643,56,187
20,555,155,378,853,894
21,920,17,164,300,906
22,507,156,769,229,663
23,381,116,351,445,531
24,799,36,160,295,553
25,265,554,238,624,971
26,424,872,466,375,219
27,197,446,882,151,555
28,817,50,678,41,597
29,246,792,923,665,784
30,161,483,626,418,12
31,748,219,349,766,118
32,486,257,605,60,681
33,717,193,547,491,837
34,164,144,534,836,112
35,53,502,11,147,713
36,240,483,865,792,491
37,638,438,527,742,729
38,603,659,725,559,713
39,892,965,81,358,543
40,640,543,155,596,407
41,316,975,320,652,712
42,799,415,522,1,869
43,98,809,276,614,854
44,102,102,748,197,651
45,625,823,670,878,930
46,984,127,182,688,384
47,247,387,451,556,875
48,947,727,576,194,574
49,151,173,888,87,659
50,337,84,333,274,385
51,169,862,918,457,473
52,800,483,536,284,948
53,938,227,790,366,621
54,143,163,634,150,477
55,585,645,878,201,758
56,759,399,878,815,983
57,222,161,518,371,374
58,167,439,390,533,521
59,575,58,724,298,418
60,52,725,36,274,863
61,892,630,57,323,66
62,215,725,870,572,376
63,224,449,111,586,109
64,449,996,882,553,294
65,502,496,947,760,951
66,242,825,668,462,690
67,638,376,926,124,274
68,363,325,755,28,743
69,574,476,950,601,795
70,917,29,545,518,565
71,742,275,680,643,779
72,253,496,700,863,932
73,32,383,469,357,448
74,501,537,36,2,585
75,472,609,510,438,20
76,328,362,553,999,285
77,444,107,333,501,178
78,970,967,496,759,335
79,65,703,801,825,765
80,828,940,824,562,758
81,189,318,816,847,204
82,289,163,835,410,429
